Name,Platform,Genre,Global_Sales,User_Score
Titanfall,X360,Shooter,1.36,5.9
The LEGO Movie Videogame,X360,Action,1.27,7.2
Watch Dogs,X360,Action,1.25,5
Plants vs. Zombies: Garden Warfare,X360,Shooter,1.08,7.3
Assassin's Creed: Rogue,X360,Action,1.01,7.3
Monster Hunter 4 Ultimate,3DS,Role-Playing,3.89,8.7
The Legend of Zelda: Majora's Mask 3D,3DS,Action,2.34,9
Kirby: Triple Deluxe,3DS,Platform,1.83,8.8
Yoshi's New Island,3DS,Platform,1.38,6.1
Pokemon Super Mystery Dungeon,3DS,Role-Playing,1.25,8.8
The Legend of Zelda: Tri Force Heroes,3DS,Action,1.12,7.6
